Profile Text,Link,Name,Designation,Department
"Dr. Anand Kushwah is an Asst. Professor in Mechanical Engineering Dept. NIET Greater Noida.

He has 01years of industrial experience and 02 year of teaching experience. He did his B.Tech from RGTU and M.Tech from RJIT B.S.F Acedemy Gwalior and Ph.D. from Delhi Technological University, Delhi. He has puslished more than 20 SCI/Scopus index journal reserach papers, and also published 02 patents. His areas of interest include solar thermal energy, thermodynamics, heat transfer.",https://www.niet.co.in/faculty/anand-kushwah,Dr. Anand Kushwah,Assistant Professor,Mechanical Engineering
"Dr. Niraj completed his doctorate from Gautam Buddha University, Greater Noida in Feb. 2021. Presently, he is working as an assistant professor NIET, Greater Noida (INDIA). He has more than 10 years of teaching & research experience. His research interests include Low Noise Amplifier, Antenna and Filter design for 5G FR-1 and FR-2 band, Transparent and flexible filter design, Organic Semiconductor Materials, Antenna and Microwave Engineering. He has published more than 15 papers in SCI journals.",https://www.niet.co.in/faculty/niraj-agrawal,Dr. Niraj Agrawal,Assistant Professor,Electronics & Communication Engineering
"Noida Institute of Engineering and technology is an institution which is focussed on imparting wholesome knowledge to its students, in pursuit to enable students to achieve their professional dreams. It has all its policies and processes aligned to achieve this objective. The college provides varied platforms to students to hone academic and professional skills. The academic experience with a good infrastructure and excellent faculty at NIET had endured me with a lifelong career excellence. I am honoured to be part NIET team.",https://www.niet.co.in/faculty/neha,Ms. Neha,Assistant Professor,Electronics & Communication Engineering
"Dr. Anjali Pundhir is currently working as an Associate Professor in the department of Languages at Noida Institute of Engineering and Technology, Greater Noida. With over 16+ years of dedicated service, Dr. Pundhir has been instrumental in nurturing effective communication skills among engineering students. Holding a Ph.D. in English Literature, she combines her passion for language with a deep understanding of the technical world. Her students consistently praise her practical approach, emphasizing the importance of clear and concise communication in engineering. Dr. Pundir's engaging teaching methods and commitment to bridging the gap between engineering and English have earned her recognition as a key figure in the institute's academic community. She is also a BEC certified speaking examiner. She has also worked as a professional with highly reputed educational institutions of Delhi NCR.

Dr Pundhir has been actively involved in imparting training to both undergraduate and postgraduate students, contributing to their holistic academic growth. She has published her research papers in International and National Journals. She has also authored book chapters, reviews, working papers, etc.",https://www.niet.co.in/faculty/anjali-pundhir,Dr. Anjali Pundhir,Associate Professor,Humanities & Applied Sciences
"Education

Ph.D.",https://www.niet.co.in/faculty/sandeep-tiwari,Dr. Sandeep Tiwari,Assistant Professor,Mechanical Engineering
"I Kanderp Narayan Mishra working as anAssistant Professor in the CSE(IoT) department. Pursuing PhD. from JUET, Guna, MP and MTech from Birla Institute Of Technology, Mesra Ranchi.",https://www.niet.co.in/faculty/kandarp-narayan-mishra,Mr. Kandarp Narayan Mishra,Assistant Professor,Not Defined
"A tech enthusiast navigating the dynamic world of Information Technology. With a B.Tech in Information Technology from Banasthali University and a Master's from Banasthali University, my journey has been an exploration of innovation and academic excellence. Expertise: Mastery in languages like C++, Java, coupled with deep dives into Data Structures, Cloud Computing, and Machine Learning, fuel my passion for cutting-edge tech.

Teaching Impact: As an Assistant Professor at Noida Institute of Engineering and Technology (An Autonomous Institute).

Innovative Contributions: Patents filed on Efficient distribution of resources in fog computing

Continuous Learning: Beyond classrooms, I delve into certifications spanning Google Cloud, Python, and Cloud Security. Engaging in workshops, seminars, and conferences on emerging technologies is my constant pursuit.

Core Essence: Adaptability, cooperation, and discipline define my work ethic. An innate curiosity drives my exploration, while integrity shapes every endeavor.

The Journey Ahead: My path isn't just about personal growth; it's about contributing to technological advancements and embracing the ever-evolving tech landscape.",https://www.niet.co.in/faculty/nishu-niharika,Ms. Nishu Niharika,Assistant Professor,Computer Science
"Education

Ph.D.",https://www.niet.co.in/faculty/shyam-lal-verma,Dr. Shyam Lal Verma,Professor,Mechanical Engineering
Not Defined,https://www.niet.co.in/faculty/shiv-nayan-prasad,Mr. Shiv Nayan Prasad,Assistant Professor,Humanities & Applied Sciences
"Prof. Amar Pal Yadav is a well-established Academician and a Registered Patent Agent. He has extensive experience of 12+ years.

Mr. Amar Pal Yadav has published more than 8 Patent and one for grant. Three book chapter published one is Scopus. Four conference paper- one is selected best paper, two Scopus published. Mr. Amar Pal has two books published one is Fundamental of Data Structure and Second is Cyber Security. He has one M. Tech Guided.",https://www.niet.co.in/faculty/amar-pal-yadav,Mr. Amar Pal Yadav,Assistant Professor,Artificial Intelligence
